t-1,t-2,t-3,t-4,t-5,sine
0.83146961,0.70710678,0.55557023,0.38268343,0.19509032,0.92387953
0.92387953,0.83146961,0.70710678,0.55557023,0.38268343,0.98078528
0.98078528,0.92387953,0.83146961,0.70710678,0.55557023,1.00000000
1.00000000,0.98078528,0.92387953,0.83146961,0.70710678,0.98078528
0.98078528,1.00000000,0.98078528,0.92387953,0.83146961,0.92387953
0.92387953,0.98078528,1.00000000,0.98078528,0.92387953,0.83146961
0.83146961,0.92387953,0.98078528,1.00000000,0.98078528,0.70710678
0.70710678,0.83146961,0.92387953,0.98078528,1.00000000,0.55557023
0.55557023,0.70710678,0.83146961,0.92387953,0.98078528,0.38268343
0.38268343,0.55557023,0.70710678,0.83146961,0.92387953,0.19509032
0.19509032,0.38268343,0.55557023,0.70710678,0.83146961,0.00000000
0.00000000,0.19509032,0.38268343,0.55557023,0.70710678,-0.19509032
-0.19509032,0.00000000,0.19509032,0.38268343,0.55557023,-0.38268343
-0.38268343,-0.19509032,0.00000000,0.19509032,0.38268343,-0.55557023
-0.55557023,-0.38268343,-0.19509032,0.00000000,0.19509032,-0.70710678
-0.70710678,-0.55557023,-0.38268343,-0.19509032,0.00000000,-0.83146961
-0.83146961,-0.70710678,-0.55557023,-0.38268343,-0.19509032,-0.92387953
-0.92387953,-0.83146961,-0.70710678,-0.55557023,-0.38268343,-0.98078528
-0.98078528,-0.92387953,-0.83146961,-0.70710678,-0.55557023,-1.00000000
-1.00000000,-0.98078528,-0.92387953,-0.83146961,-0.70710678,-0.98078528
-0.98078528,-1.00000000,-0.98078528,-0.92387953,-0.83146961,-0.92387953
-0.92387953,-0.98078528,-1.00000000,-0.98078528,-0.92387953,-0.83146961
-0.83146961,-0.92387953,-0.98078528,-1.00000000,-0.98078528,-0.70710678
-0.70710678,-0.83146961,-0.92387953,-0.98078528,-1.00000000,-0.55557023
-0.55557023,-0.70710678,-0.83146961,-0.92387953,-0.98078528,-0.38268343
-0.38268343,-0.55557023,-0.70710678,-0.83146961,-0.92387953,-0.19509032
-0.19509032,-0.38268343,-0.55557023,-0.70710678,-0.83146961,0.00000000
0.00000000,-0.19509032,-0.38268343,-0.55557023,-0.70710678,0.19509032
0.19509032,0.00000000,-0.19509032,-0.38268343,-0.55557023,0.38268343
0.38268343,0.19509032,0.00000000,-0.19509032,-0.38268343,0.55557023
0.55557023,0.38268343,0.19509032,0.00000000,-0.19509032,0.70710678
0.70710678,0.55557023,0.38268343,0.19509032,0.00000000,0.83146961
0.83146961,0.70710678,0.55557023,0.38268343,0.19509032,0.92387953
0.92387953,0.83146961,0.70710678,0.55557023,0.38268343,0.98078528
0.98078528,0.92387953,0.83146961,0.70710678,0.55557023,1.00000000
1.00000000,0.98078528,0.92387953,0.83146961,0.70710678,0.98078528
0.98078528,1.00000000,0.98078528,0.92387953,0.83146961,0.92387953
0.92387953,0.98078528,1.00000000,0.98078528,0.92387953,0.83146961
0.83146961,0.92387953,0.98078528,1.00000000,0.98078528,0.70710678
0.70710678,0.83146961,0.92387953,0.98078528,1.00000000,0.55557023
0.55557023,0.70710678,0.83146961,0.92387953,0.98078528,0.38268343
0.38268343,0.55557023,0.70710678,0.83146961,0.92387953,0.19509032
0.19509032,0.38268343,0.55557023,0.70710678,0.83146961,0.00000000
0.00000000,0.19509032,0.38268343,0.55557023,0.70710678,-0.19509032
-0.19509032,0.00000000,0.19509032,0.38268343,0.55557023,-0.38268343
-0.38268343,-0.19509032,0.00000000,0.19509032,0.38268343,-0.55557023
-0.55557023,-0.38268343,-0.19509032,0.00000000,0.19509032,-0.70710678
-0.70710678,-0.55557023,-0.38268343,-0.19509032,0.00000000,-0.83146961
-0.83146961,-0.70710678,-0.55557023,-0.38268343,-0.19509032,-0.92387953
-0.92387953,-0.83146961,-0.70710678,-0.55557023,-0.38268343,-0.98078528
-0.98078528,-0.92387953,-0.83146961,-0.70710678,-0.55557023,-1.00000000
-1.00000000,-0.98078528,-0.92387953,-0.83146961,-0.70710678,-0.98078528
-0.98078528,-1.00000000,-0.98078528,-0.92387953,-0.83146961,-0.92387953
-0.92387953,-0.98078528,-1.00000000,-0.98078528,-0.92387953,-0.83146961
-0.83146961,-0.92387953,-0.98078528,-1.00000000,-0.98078528,-0.70710678
-0.70710678,-0.83146961,-0.92387953,-0.98078528,-1.00000000,-0.55557023
-0.55557023,-0.70710678,-0.83146961,-0.92387953,-0.98078528,-0.38268343
-0.38268343,-0.55557023,-0.70710678,-0.83146961,-0.92387953,-0.19509032
-0.19509032,-0.38268343,-0.55557023,-0.70710678,-0.83146961,0.00000000
0.00000000,-0.19509032,-0.38268343,-0.55557023,-0.70710678,0.19509032
0.19509032,0.00000000,-0.19509032,-0.38268343,-0.55557023,0.38268343
0.38268343,0.19509032,0.00000000,-0.19509032,-0.38268343,0.55557023
0.55557023,0.38268343,0.19509032,0.00000000,-0.19509032,0.70710678
0.70710678,0.55557023,0.38268343,0.19509032,0.00000000,0.83146961
0.83146961,0.70710678,0.55557023,0.38268343,0.19509032,0.92387953
0.92387953,0.83146961,0.70710678,0.55557023,0.38268343,0.98078528
0.98078528,0.92387953,0.83146961,0.70710678,0.55557023,1.00000000
